time_s,pos_m,setpoint_m,servo_deg
1.738,0.0859,0.15,48.0
1.742,0.0879,0.15,47.0
1.746,0.0885,0.15,46.0
1.749,0.0865,0.15,46.0
1.753,0.0844,0.15,46.0
1.757,0.0822,0.15,46.0
1.76,0.0802,0.15,46.0
1.764,0.0768,0.15,46.0
1.767,0.0761,0.15,46.0
1.771,0.0747,0.15,46.0
1.774,0.0734,0.15,82.0
1.778,0.0717,0.15,102.0
1.781,0.0723,0.15,115.0
1.785,0.0709,0.15,123.0
1.788,0.0707,0.15,128.0
1.792,0.0706,0.15,130.0
1.795,0.0657,0.15,132.0
1.798,0.0628,0.15,133.0
1.802,0.0616,0.15,134.0
1.805,0.0577,0.15,134.0
1.808,0.0547,0.15,134.0
1.811,0.0516,0.15,134.0
1.813,0.0473,0.15,134.0
1.817,0.046,0.15,134.0
1.82,0.045,0.15,134.0
1.823,0.0424,0.15,134.0
1.826,0.0417,0.15,134.0
1.829,0.04,0.15,134.0
1.831,0.0396,0.15,134.0
1.834,0.0374,0.15,134.0
1.837,0.0369,0.15,134.0
1.84,0.0363,0.15,134.0
1.843,0.0364,0.15,134.0
1.846,0.0362,0.15,134.0
1.849,0.037,0.15,134.0
1.852,0.0376,0.15,134.0
1.855,0.0371,0.15,134.0
1.858,0.0366,0.15,134.0
1.861,0.0364,0.15,134.0
1.864,0.037,0.15,134.0
1.866,0.0367,0.15,134.0
1.869,0.0364,0.15,134.0
1.872,0.0376,0.15,135.0
1.875,0.0385,0.15,135.0
1.878,0.0392,0.15,122.0
1.882,0.0401,0.15,114.0
1.885,0.0408,0.15,109.0
1.888,0.0419,0.15,106.0
1.891,0.0422,0.15,105.0
1.894,0.0436,0.15,104.0
1.897,0.0449,0.15,103.0
1.9,0.0458,0.15,83.0
1.903,0.0466,0.15,70.0
1.907,0.0523,0.15,62.0
1.91,0.0566,0.15,58.0
1.918,0.0647,0.15,55.0
1.925,0.0761,0.15,51.0
1.929,0.0834,0.15,49.0
1.933,0.0858,0.15,48.0
1.937,0.0866,0.15,47.0
1.941,0.0866,0.15,46.0
1.944,0.0858,0.15,46.0
